Date,Close/Last,Volume,Open,High,Low
11/27/2019,3153.75,890391,3143.75,3155,3141.75
11/26/2019,3143.75,1035129,3131.25,3145,3128
11/25/2019,3132.75,880911,3119,3133.5,3116.5
11/22/2019,3111.6,951663,3104,3114.5,3097.75
11/21/2019,3104,1377808,3097.25,3114.5,3091.25
11/20/2019,3109,1633911,3116.5,3118.5,3090.75
11/19/2019,3118.5,1129974,3121.5,3132.5,3112.75
11/18/2019,3121.75,980006,3119,3127.75,3111
11/15/2019,3118.3,1185862,3097,3119.5,3095.75
11/14/2019,3097,1048429,3096.25,3099.75,3081.75
11/13/2019,3095.5,1217946,3088.25,3096.5,3085.5
11/12/2019,3092,1072803,3087.75,3102,3081.25
11/11/2019,3087.5,815130,3090.5,3092.25,3074.5
11/08/2019,3090.6,1034699,3086.25,3092.5,3072.5
11/07/2019,3086,1318312,3080.75,3087,3080
11/06/2019,3075.5,1050977,3072,3078,3071
11/05/2019,3072,1103444,3076.75,3085.75,3069.75
11/04/2019,3075.75,1123812,3064.75,3083.75,3064.75
11/01/2019,3063.2,1225064,3036,3065,3033
10/31/2019,3035.75,1698572,3051.75,3052,3020.25
10/30/2019,3047.75,1146837,3036.5,3055,3023.25
10/29/2019,3035.75,1010067,3038.25,3046.25,3029.5
10/28/2019,3036.25,1002330,3023,3042.75,3022.75
10/25/2019,3020.3,1065492,3020.25,3024.25,3016.75
10/24/2019,3004.25,1042131,3006,3015.25,2998.75
10/23/2019,3005.75,1033841,2992,3006,2982
10/22/2019,2994.5,1103176,3006.5,3014.25,2988.25
10/21/2019,3006.5,854575,2984.75,3007.5,2983.75
10/18/2019,2988.25,1267783,2997.75,3001.25,2975
10/17/2019,2998,1063033,2992.25,3008,2985.25
10/16/2019,2991.5,1101261,2996.5,2997.75,2984.75
10/15/2019,2997.75,1142465,2966.75,3003.25,2966.5
10/14/2019,2965.5,808326,2968,2982.5,2953.75
10/11/2019,2970.8,1667070,2949,2994,2941.75
10/10/2019,2941,1541356,2920.5,2954,2881.75
10/09/2019,2919,1264634,2922.75,2926,2915.25
10/08/2019,2892.5,1818707,2934.5,2950,2890.5
10/07/2019,2937.5,1230185,2941.75,2948.25,2935
10/04/2019,2951,1434236,2911.5,2953.25,2896.75
10/03/2019,2911.75,1966195,2883.75,2912.5,2855
10/02/2019,2880.5,2048393,2942.25,2949,2874
10/01/2019,2937.75,1567901,2984,2994.5,2937
09/30/2019,2978.5,1096698,2976,2986.25,2964.5
09/27/2019,2963.8,1610676,2979.75,2993,2946.25
09/26/2019,2980.5,1315615,2985.75,2995,2964.25
09/25/2019,2986.25,1460935,2971,2991.75,2953.75
09/24/2019,2970.25,1892313,3001,3012.25,2958.5
09/23/2019,2997,1015714,2995.75,3008.25,2982
09/20/2019,2989.5,1405299,3007,3018,2985.25
09/19/2019,3008,1304359,3010,3024.5,2991.25
09/18/2019,3008.5,1599315,3008.75,3013.75,2980.75
09/17/2019,3005.5,1069843,3001.75,3006.5,2991.5
09/16/2019,2999,1162581,2996.25,3002.75,2994.25
09/13/2019,3006.4,1239877,3010,3023.75,3003.5
09/12/2019,3011.75,1716865,3003,3021.75,3001
09/11/2019,3002,1363964,2979,3004.25,2972
09/10/2019,2978.5,1455349,2979.25,2985,2957.25
09/09/2019,2978.25,1162504,2980.25,2991.5,2969.5
